Algoritmo,Funcion,Mejor,Peor,Promedio,Mediana,Desv.Est.
AG,sphere,0.0016892239,0.0136067751,0.0059940086,0.0056443983,0.0038428843
AG,ackley,0.1684873033,1.9240159259,0.6395725309,0.4876150885,0.5082467250
AG,griewank,0.5761544239,1.0331534030,0.8588699310,0.8812130187,0.1669194857
AG,rastrigin,5.4971546303,15.7189621063,9.6959856944,8.4887865650,3.2429855333
AG,rosenbrock,5.2322270863,15.1743109475,8.9685721150,8.4794282250,2.4536740296
BusquedaAleatoria,sphere,4.2363413802,16.0211116210,11.6363156109,12.6866066697,3.7350957459
BusquedaAleatoria,ackley,13.0583935449,17.5796743921,16.1780489372,16.6336242302,1.3351426279
BusquedaAleatoria,griewank,25.7911927710,51.4791297860,37.8042414801,34.1943370530,9.0809006610
BusquedaAleatoria,rastrigin,52.9329640679,87.0985158047,70.1836254476,70.1246528581,9.7841554736
BusquedaAleatoria,rosenbrock,142.6513740238,280.7888682330,229.0459449299,234.7667294488,36.4429142424
