Funcion,Ejecucion,Fitness,Diversidad_Final
sphere,1,0.0000223273,0.054580
sphere,2,0.0000027955,0.052120
sphere,3,0.0000104617,0.046966
sphere,4,0.0000040651,0.049173
sphere,5,0.0000062624,0.056900
sphere,6,0.0000102176,0.068159
sphere,7,0.0000111942,0.046159
sphere,8,0.0000031861,0.037201
sphere,9,0.0000054811,0.061577
sphere,10,0.0000046510,0.055679
ackley,1,0.0246945404,0.042436
ackley,2,2.0140784452,0.061062
ackley,3,2.3185355093,0.042782
ackley,4,0.0111568208,0.036944
ackley,5,0.0086254203,0.049418
ackley,6,0.0178300433,0.051763
ackley,7,0.0137012598,0.036684
ackley,8,0.0112895754,0.044598
ackley,9,0.0241507415,0.060391
ackley,10,0.0261424723,0.047824
griewank,1,0.4063944486,0.041605
griewank,2,0.1925337586,0.028039
griewank,3,0.0262706222,0.049648
griewank,4,0.2103231799,0.041407
griewank,5,0.1945558524,0.043362
griewank,6,0.0595173649,0.047102
griewank,7,0.2711466754,0.028735
griewank,8,0.0338604456,0.035530
griewank,9,0.4184936832,0.046529
griewank,10,0.2097110477,0.059676
rastrigin,1,5.2271756803,0.050587
rastrigin,2,9.4556481306,0.056073
rastrigin,3,21.0461504788,0.053245
rastrigin,4,7.9877755065,0.044605
rastrigin,5,16.3527967551,0.042045
rastrigin,6,7.7181727875,0.061938
rastrigin,7,9.2248019182,0.056521
rastrigin,8,23.0727227233,0.048080
rastrigin,9,12.3324530075,0.048080
rastrigin,10,5.2178826506,0.040894
rosenbrock,1,8.7520032413,0.039701
rosenbrock,2,8.9531760802,0.067444
rosenbrock,3,8.7151146605,0.041284
rosenbrock,4,8.3826259967,0.044947
rosenbrock,5,8.9640048497,0.054672
rosenbrock,6,6.2586278389,0.043220
rosenbrock,7,9.4629602600,0.062250
rosenbrock,8,8.1052721709,0.062183
rosenbrock,9,8.7537304717,0.042418
rosenbrock,10,19.3058535925,0.080905

ESTADISTICAS RESUMEN

Funcion,Mejor,Peor,Promedio,Mediana,Desv.Est.
sphere,0.0000027955,0.0000223273,0.0000080642,0.0000058718,0.0000055923
ackley,0.0086254203,2.3185355093,0.4470204828,0.0209903924,0.8623545814
griewank,0.0262706222,0.4184936832,0.2022807079,0.2021334500,0.1315879425
rastrigin,5.2178826506,23.0727227233,11.7635579638,9.3402250244,6.0283666836
rosenbrock,6.2586278389,19.3058535925,9.5653369163,8.7528668565,3.3486191321
