Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,19.0322936786,20.9305105467,21.7387997880,80.009131,0.500057
1,19.0322936786,21.0567106760,21.8462534413,79.019616,0.493873
2,19.0322936786,21.1702370253,21.8844542202,77.122465,0.482015
3,19.0322936786,21.2697299635,21.9454063531,74.660788,0.466630
4,19.0322936786,21.3414425099,21.9602731895,71.902727,0.449392
5,19.0322936786,21.3922395289,22.0046562405,69.092465,0.431828
6,19.0322936786,21.4455669845,22.0299307349,66.333333,0.414583
7,19.0322936786,21.4875045578,22.0682611647,63.296141,0.395601
8,19.0322936786,21.5249651803,22.0968888281,60.917273,0.380733
9,19.0322936786,21.5530247417,22.1150117052,58.244061,0.364025
10,19.0322936786,21.5654078133,22.1197010121,56.458768,0.352867
11,19.0322936786,21.5842436849,22.1390976081,55.756081,0.348476
12,19.0322936786,21.6067196998,22.1507635234,54.503010,0.340644
13,19.0322936786,21.6234969395,22.1619412199,53.356545,0.333478
14,19.0322936786,21.6389673329,22.1713627354,51.914687,0.324467
15,19.0322936786,21.6511000745,22.1801008081,51.292323,0.320577
16,19.0322936786,21.6638871870,22.1868490519,50.711111,0.316944
17,19.0322936786,21.6623398081,22.1863688647,51.028586,0.318929
18,19.0322936786,21.6782141253,22.1978364594,49.939313,0.312121
19,19.0322936786,21.6840744189,22.2017989270,49.909515,0.311934
20,19.0322936786,21.6981454839,22.2089207339,48.817051,0.305107
21,19.0322936786,21.6997574278,22.2144229867,48.838081,0.305238
22,19.0322936786,21.7054391267,22.2145869309,48.204788,0.301280
23,19.0322936786,21.7117091184,22.2153001025,47.993273,0.299958
24,19.0322936786,21.7185043095,22.2215639345,47.398465,0.296240
25,19.0322936786,21.7192387780,22.2244644673,47.571576,0.297322
26,19.0322936786,21.7239093955,22.2283332444,47.600061,0.297500
27,19.0322936786,21.7268985459,22.2282490466,47.316646,0.295729
28,19.0322936786,21.7264008374,22.2326061036,47.269192,0.295432
29,19.0322936786,21.7331524714,22.2329946342,47.044485,0.294028
30,19.0322936786,21.7329392479,22.2363746350,47.196667,0.294979
31,19.0322936786,21.7325193548,22.2374175700,47.434141,0.296463
32,19.0322936786,21.7347678695,22.2360939210,46.916828,0.293230
33,19.0322936786,21.7426433210,22.2397121291,46.556525,0.290978
34,18.9813663219,21.7362987248,22.2420710885,46.803980,0.292525
35,18.9813663219,21.7357093838,22.2452017471,46.210404,0.288815
36,18.9813663219,21.7474255404,22.2461102377,45.776485,0.286103
37,18.9813663219,21.7464651498,22.2468719742,45.827556,0.286422
38,18.9813663219,21.7432977622,22.2489243053,45.997131,0.287482
39,18.9813663219,21.7465901667,22.2488510356,45.711717,0.285698
40,18.9813663219,21.7534865467,22.2522181036,45.093394,0.281834
41,18.9813663219,21.7529931664,22.2511812218,44.879455,0.280497
42,18.9813663219,21.7513032360,22.2520660881,45.063939,0.281650
43,18.9813663219,21.7502028807,22.2518211895,45.548141,0.284676
44,18.9813663219,21.7546470629,22.2529470698,45.261455,0.282884
45,18.9813663219,21.7557968941,22.2534025703,45.388525,0.283678
46,18.9813663219,21.7560543723,22.2538154911,45.472081,0.284201
