Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,115.7091577205,301.3002121427,545.2175274918,80.019859,0.500124
1,115.7091577205,334.7302983153,590.0183043426,79.189717,0.494936
2,115.7091577205,373.9604150658,622.0983611539,77.877051,0.486732
3,115.7091577205,410.6395721233,644.6776339968,76.115818,0.475724
4,115.7091577205,443.8178001795,680.7773357420,73.104949,0.456906
5,115.7091577205,472.3132928827,699.2260243520,70.045111,0.437782
6,115.7091577205,501.5533678008,722.9946160377,67.287071,0.420544
7,115.7091577205,528.9079780931,740.3982334584,65.347051,0.408419
8,115.7091577205,547.9927956574,759.5704883919,63.164121,0.394776
9,115.7091577205,564.1652262027,770.4370072598,61.115051,0.381969
10,115.7091577205,581.8690862650,784.6751785168,58.829859,0.367687
11,115.7091577205,592.8947036464,787.9500365445,57.760020,0.361000
12,115.7091577205,605.4322555395,800.4783420918,56.681576,0.354260
13,115.7091577205,614.7429275720,805.8723732407,55.292808,0.345580
14,115.7091577205,621.2218409116,814.1206506921,54.474182,0.340464
15,115.7091577205,631.1506886877,824.7652547427,53.707677,0.335673
16,115.7091577205,637.5179285927,835.2449822603,53.468869,0.334180
17,115.7091577205,644.3205706184,836.6587214474,52.960525,0.331003
18,115.7091577205,650.4660809447,842.8268324310,52.412949,0.327581
19,115.7091577205,656.0135389363,848.7409559491,52.084848,0.325530
20,115.7091577205,665.5247227978,849.1613136314,50.459859,0.315374
21,115.7091577205,667.8820494419,852.2864561269,50.155232,0.313470
22,115.7091577205,670.2237682588,854.9432179922,49.625919,0.310162
23,115.7091577205,678.1486040300,859.0399267268,48.857010,0.305356
24,115.7091577205,678.5519840077,861.8772257367,48.545778,0.303411
25,115.7091577205,684.6875915515,863.7269761093,48.575091,0.303594
26,115.7091577205,684.3733164123,866.2702203683,48.982000,0.306138
27,115.7091577205,690.2588684914,868.2838396630,48.782525,0.304891
28,115.7091577205,687.2578743547,871.1066146648,49.236545,0.307728
29,115.7091577205,696.1687774096,872.1222594041,48.218949,0.301368
30,115.7091577205,697.7392543177,873.3372905050,47.582808,0.297393
31,115.7091577205,701.4686502106,875.4281552486,47.171374,0.294821
32,115.7091577205,698.0386285942,876.2328169448,47.664949,0.297906
33,115.7091577205,699.7021356371,878.0267877082,47.608000,0.297550
34,115.7091577205,701.4534616127,878.6044180392,46.866626,0.292916
35,115.7091577205,704.0492307374,879.5624101074,46.644343,0.291527
36,115.7091577205,703.1569797782,881.0351279479,46.897131,0.293107
37,115.7091577205,703.9311041783,882.2539893851,46.251576,0.289072
38,115.7091577205,702.7209666198,881.7887287161,46.280929,0.289256
39,115.7091577205,706.2780472430,883.0319136141,46.366869,0.289793
40,115.7091577205,709.8121579601,883.7656577068,46.041495,0.287759
41,115.7091577205,704.5842132380,884.5703155228,46.446525,0.290291
42,115.7091577205,705.7374893155,885.1976316311,46.183354,0.288646
43,115.7091577205,706.1914962979,887.3876147207,46.342505,0.289641
44,115.7091577205,707.5749124482,887.5455937422,46.166667,0.288542
45,115.7091577205,709.3601590745,888.2484205627,46.094768,0.288092
46,115.7091577205,711.2891347291,888.3378893846,45.857293,0.286608
47,115.7091577205,713.6039762752,889.0726007477,45.437677,0.283985
48,115.7091577205,715.1566887047,889.4493169437,45.011798,0.281324
49,115.7091577205,714.9528705558,890.1204533531,44.915091,0.280719
50,115.7091577205,713.6689774601,890.7290687696,45.260909,0.282881
51,115.7091577205,709.8368433164,891.6314207111,45.475737,0.284223
52,115.7091577205,712.7195573245,891.7031929610,45.594768,0.284967
53,115.7091577205,715.8636015730,891.8822900301,45.000263,0.281252
54,115.7091577205,715.4092923685,892.2296822092,44.916263,0.280727
55,115.7091577205,713.8805768537,892.6099028682,45.358323,0.283490
56,115.7091577205,718.1694316426,893.2661878649,44.601192,0.278757
57,115.7091577205,715.7611291748,893.1096847262,44.811535,0.280072
58,115.7091577205,715.8648686820,893.4538052067,44.766101,0.279788
59,115.7091577205,716.8793567239,893.8939156615,44.742202,0.279639
60,115.7091577205,717.7861229531,894.3018228102,44.613091,0.278832
61,115.7091577205,720.7982318547,894.3380033167,44.080687,0.275504
62,115.7091577205,715.6988240259,894.9148926452,44.560081,0.278501
63,115.7091577205,716.7423884520,895.0328226137,44.264606,0.276654
64,115.7091577205,718.2090274436,895.4500195242,44.047273,0.275295
65,115.7091577205,719.5095809432,895.4213737441,43.821596,0.273885
66,115.7091577205,718.7485704050,895.1835799083,43.877071,0.274232
67,115.7091577205,722.1992835963,895.4515070393,43.595717,0.272473
68,115.7091577205,723.7563977845,895.4527705845,43.442566,0.271516
69,115.7091577205,720.5493538941,896.0672930759,44.167475,0.276047
70,115.7091577205,721.7056615097,895.8952726261,44.170505,0.276066
71,115.7091577205,719.3178833908,896.0554564308,44.778545,0.279866
72,115.7091577205,716.0848037641,895.7294884783,44.798747,0.279992
73,115.7091577205,715.6474010996,895.8566032215,45.086788,0.281792
74,115.7091577205,718.5158545943,896.3189691843,44.984040,0.281150
75,115.7091577205,716.6908631906,896.4422738638,45.011333,0.281321
76,115.7091577205,714.9749834435,896.2177321397,45.154141,0.282213
77,115.7091577205,716.0809046385,896.4862312740,44.785131,0.279907
78,115.7091577205,716.5771915746,896.5819259579,44.530626,0.278316
79,115.7091577205,715.2733698716,896.6226018748,44.960788,0.281005
80,115.7091577205,717.6167650979,896.6308620542,45.274202,0.282964
