Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,104.9856727245,184.4606385812,265.3191691843,79.973576,0.499835
1,95.4900352339,164.6324673174,258.4537878103,78.327414,0.489546
2,89.5841379252,153.3081436931,239.1202308525,76.283980,0.476775
3,84.8217869824,144.2240803042,238.5815450906,72.308384,0.451927
4,79.1925687957,138.4800106906,238.9093256723,66.444263,0.415277
5,71.7864121372,127.7295727934,237.1651468185,58.175394,0.363596
6,67.1291987313,119.5907761360,218.4086111027,48.946283,0.305914
7,58.1505700141,108.9946183995,203.6388726563,43.576000,0.272350
8,55.3833967965,100.1096458436,188.3201287090,37.641333,0.235258
9,50.7017855837,92.5089413441,171.9369004343,32.543960,0.203400
10,43.8761665879,83.7452867815,161.7300972589,27.980788,0.174880
11,42.2474688895,76.0282724953,144.2614791872,23.725414,0.148284
12,39.9246020616,70.6735853723,139.6463698157,22.823778,0.142649
13,35.5899326329,65.4439508951,125.9708594502,22.318929,0.139493
14,32.5892867178,60.7022718735,131.3984161123,22.105717,0.138161
15,30.9960352429,56.3887076599,124.1120302539,20.261798,0.126636
16,28.6740950660,51.3711848159,116.9786980953,18.420990,0.115131
17,27.5360499326,47.4558121483,102.9851610369,17.006202,0.106289
18,26.6388929192,44.4442981896,98.6749758339,16.319778,0.101999
19,25.5947755111,41.3878772929,98.1090678866,15.320828,0.095755
20,24.5644051343,38.4749915816,89.9043056897,15.043030,0.094019
21,23.6834555557,36.9778039137,87.7076705440,15.253556,0.095335
22,23.1936878157,36.3577856897,88.7002001160,15.411030,0.096319
23,21.6844621357,34.5698629319,92.4393516075,15.383818,0.096149
24,21.1366935523,34.3038606463,79.2818536147,15.222081,0.095138
25,20.3331320540,33.1842038687,90.4930281121,15.423960,0.096400
26,19.5954733078,32.6133038516,91.5789087307,14.943030,0.093394
27,19.2693321526,30.6172223238,82.8699771017,14.619758,0.091373
28,18.8698439283,30.1416479685,83.9642460756,14.582687,0.091142
29,18.6225449394,28.7482446738,78.6845914199,14.556889,0.090981
30,18.1623313022,28.6887449946,80.1364596157,14.515980,0.090725
31,17.9194529408,27.4741045946,72.6361382823,14.729253,0.092058
32,17.2817990359,26.8679057206,80.4380278617,14.188949,0.088681
33,16.9554218340,27.0099303961,81.7863969744,14.113495,0.088209
34,16.7709558380,26.7774301112,76.2950940455,14.260505,0.089128
35,16.5025243705,26.3521015015,79.2191935958,14.206626,0.088791
36,16.2539848516,26.0830645388,79.2019610151,14.520667,0.090754
37,16.1171813018,25.6597603288,82.5699050123,14.078889,0.087993
38,15.6691571703,25.3782825678,85.4306990072,13.815313,0.086346
39,15.5170671470,25.5294685450,75.7747477169,13.753010,0.085956
40,15.5011992372,25.0126566426,77.8146575443,13.630182,0.085189
41,15.4002389994,24.6402994110,78.8651186100,13.447374,0.084046
42,15.3449321254,24.4165189998,76.8858040142,13.599717,0.084998
