Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,705.9904877026,4491.6198488277,12732.7942545215,80.024848,0.500155
1,587.0770383579,3083.4170201537,9477.0922198647,78.495697,0.490598
2,543.3450553623,2414.7929383380,7874.8493293137,75.768848,0.473555
3,400.4586837783,2054.5694720201,7169.4125620554,72.094727,0.450592
4,341.2635349805,1691.4448256616,6282.1530998740,66.452646,0.415329
5,281.7416571191,1555.3405735054,6005.0882543500,59.112626,0.369454
6,207.2764407013,1255.9826514647,5265.4142690451,53.083010,0.331769
7,198.0384056549,1061.8368651948,5216.0438269806,49.015313,0.306346
8,152.3018537574,948.5424937863,4617.5768746503,45.837475,0.286484
9,124.0013959825,766.7644607416,4504.1679239889,40.116667,0.250729
10,113.9203410969,645.9629588129,3528.7517086737,34.715556,0.216972
11,100.0945800804,528.8570773536,3838.8634889382,32.065172,0.200407
12,92.0072440651,446.7936847546,2749.1135967333,30.122283,0.188264
13,84.0725650113,413.2008112150,3191.3621262913,27.961495,0.174759
14,70.6264914958,353.1433439878,2497.4261129774,24.984020,0.156150
15,67.7243185276,338.9256651963,2754.4202407582,23.969879,0.149812
16,60.2458614921,289.4696997451,2559.4418012057,22.642364,0.141515
17,51.9831443240,252.1480843176,2916.4270521729,21.248222,0.132801
18,46.0782063169,246.5524086326,2436.7887334651,20.521091,0.128257
19,42.1437824359,234.0816507219,2696.0648382321,19.780040,0.123625
20,38.7026862763,219.5663875705,2296.0555248360,19.740768,0.123380
21,36.4039614004,193.8903596605,2582.5771851734,19.438545,0.121491
22,34.9664109567,206.0480271019,2301.6401612023,19.479657,0.121748
23,31.5960136040,204.8270897429,2401.1401711747,19.900323,0.124377
24,30.0128936141,195.8919773317,2493.1020031979,20.095333,0.125596
25,28.8879464617,182.2888948984,2530.7720883623,19.688929,0.123056
26,26.6023514626,157.2415976837,2108.0973838484,19.307354,0.120671
27,25.1899059092,164.9531177995,2599.5494431846,19.355131,0.120970
28,24.4418758234,200.1148047705,2540.4545277753,19.178566,0.119866
29,22.9362482104,167.7201128820,2227.2761202905,18.687919,0.116799
30,22.2216006519,160.8190379587,2272.0482284109,18.385111,0.114907
31,21.6721120715,185.2803763051,2759.7791368172,17.720990,0.110756
32,20.7200699686,156.7376905585,2531.8672085273,17.568343,0.109802
33,19.7561193489,187.0764517541,2350.2589158484,17.273414,0.107959
34,19.4473811829,176.0963518062,2664.4459221142,16.812687,0.105079
35,19.2857037642,151.5539189168,2623.5277124368,16.796141,0.104976
36,18.5202022585,166.0291556116,2382.4579919464,16.175899,0.101099
37,18.3077790377,181.0818925901,2560.9361393842,15.629051,0.097682
38,18.1369280164,164.9079879635,2337.9341409916,15.338364,0.095865
39,18.0194302261,188.4413048947,2793.6349921903,15.532566,0.097079
40,17.9279182806,170.8442588053,2666.4278840380,15.960929,0.099756
41,16.2194424266,192.6937141971,2234.2683711468,15.908566,0.099429
42,16.0232115924,165.0477519162,2380.8538651866,15.826828,0.098918
43,15.8523814566,143.7921894790,2359.7043234886,15.859899,0.099124
44,15.7979355994,175.9777046696,2886.9879798499,15.631414,0.097696
45,15.3720969028,178.5403867002,2504.4465896059,15.395879,0.096224
46,15.2006260566,178.6911028923,2372.9990769041,15.155899,0.094724
47,15.1544270581,176.0037699725,2641.3199984729,15.577030,0.097356
48,15.1043598404,150.1345546435,2527.4576922912,15.499293,0.096871
49,15.0905751769,181.1005176039,3143.0899139725,15.500586,0.096879
50,15.0480417356,187.8238358293,3471.9274372891,15.086081,0.094288
51,15.0162790901,159.6236735657,2815.1231545039,15.255697,0.095348
52,14.9962496126,169.1785046579,2696.8648571167,15.871576,0.099197
53,14.7824218776,158.5347221430,2857.6052287037,15.951515,0.099697
54,14.7361461081,187.2915099027,2773.8216558275,15.768687,0.098554
55,14.4296692097,182.1140185228,2471.0413680331,15.492828,0.096830
56,14.4174118664,175.1237166878,2902.9397869337,15.562848,0.097268
57,14.3823127450,194.3631951067,2810.4290147981,15.276242,0.095477
58,14.3523424349,187.2384080259,2811.7176191817,14.775071,0.092344
59,14.2599773545,141.5700851274,2346.6362543156,14.574020,0.091088
