Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,27.4715341615,86.9571654782,157.3645636256,79.983737,0.499898
1,26.4021728507,76.1601398593,147.0138438282,79.093131,0.494332
2,24.2976451837,69.5994349819,133.4996672219,78.120788,0.488255
3,21.2886667073,65.4935458113,132.2811386197,77.105677,0.481910
4,18.1233847304,61.0088327805,126.6251706923,75.826101,0.473913
5,15.2842471109,58.6675426401,125.5683761028,74.278990,0.464244
6,14.3992722425,55.6901966135,125.9680057008,71.823030,0.448894
7,12.7267088077,52.4138063146,119.5974740284,69.693172,0.435582
8,11.0973435418,50.7884899535,117.8252928563,67.341455,0.420884
9,10.3872768530,49.2927988366,124.1398151681,64.366525,0.402291
10,9.5989479124,46.1920275105,113.6348863775,62.187111,0.388669
11,8.5151673920,43.1714676462,108.7454569210,59.284222,0.370526
12,8.5151673920,38.9196431818,101.4234254154,57.929394,0.362059
13,8.0810642030,37.5880389056,105.5869736819,56.612020,0.353825
14,7.6384327897,35.7104963131,100.7836903504,54.768949,0.342306
15,7.4506590613,33.5747972292,97.8428005143,53.065374,0.331659
16,6.8449526129,31.9538829860,86.0734558276,52.624606,0.328904
17,6.0382385606,28.0875878865,78.8432276119,50.727091,0.317044
18,5.7070987090,27.5149502677,86.8050670216,49.692505,0.310578
19,5.6434397741,26.6571304095,80.7514215724,48.865313,0.305408
20,5.3057118015,25.4631001682,76.6537101149,48.322949,0.302018
21,4.9363256899,24.2158620739,74.6788006760,47.032242,0.293952
22,4.7012573005,22.5661175117,72.9753503611,45.117495,0.281984
23,4.1001278911,21.1274275874,69.8173754041,42.221778,0.263886
24,3.4457472522,19.5458114289,74.1387511434,39.975354,0.249846
25,3.2205925833,17.0859189704,69.9070110986,38.188949,0.238681
26,2.7923822254,16.1232892228,61.2211033812,37.423374,0.233896
27,2.5761911942,14.6151142718,56.3783293963,36.596889,0.228731
28,2.5167674423,13.5573782721,55.3415968352,35.676566,0.222979
29,2.0244908470,13.1528279321,55.1389579119,35.090000,0.219313
30,1.9550433419,12.3056034279,54.8253757494,34.516404,0.215728
31,1.9153540399,11.8550949235,62.4440315025,34.556889,0.215981
32,1.8495369483,10.9192136303,57.2506514323,34.764384,0.217277
33,1.8020923071,10.7959906303,51.4180348524,34.859111,0.217869
34,1.6637700243,10.6270575802,49.3593193208,35.344848,0.220905
35,1.6224583535,10.4812087003,57.9929068428,35.249818,0.220311
36,1.3582605301,10.1074649025,54.3729126299,35.089798,0.219311
37,1.2252363338,10.2103041961,53.0468752048,34.825333,0.217658
38,1.1901460833,9.8222809290,49.5523119291,34.603556,0.216272
39,1.0954084656,9.1864700252,42.3248201836,34.439919,0.215249
40,0.9995450469,8.6681872836,51.7676323717,34.480020,0.215500
41,0.9725533443,8.4401834594,48.2391734084,34.471475,0.215447
42,0.7812355478,8.2584946175,44.7450408392,34.485434,0.215534
43,0.6488310628,8.4608456607,49.3452843417,34.502606,0.215641
44,0.5968402135,8.1730150031,51.7043415682,34.425152,0.215157
45,0.5667051044,7.6436692180,47.8869161252,34.227131,0.213920
46,0.5031110641,7.4646938622,47.4733136008,34.020485,0.212628
47,0.4255695522,7.0106725678,47.6544156461,33.982525,0.212391
48,0.4082377782,6.8365701927,42.2921234729,33.638687,0.210242
49,0.3959357719,6.5678346698,44.3172840010,32.842687,0.205267
50,0.3768689547,6.5353251918,47.1954112430,32.258364,0.201615
51,0.3254946915,6.0053944937,40.7401650371,32.067333,0.200421
52,0.3254946915,5.1723309743,38.6567840896,31.308000,0.195675
53,0.3011210522,5.3702133392,40.2228422038,31.412343,0.196327
54,0.2594098672,4.9209870668,40.5117301117,31.237657,0.195235
55,0.2390761119,5.4824653264,47.8730722213,31.523515,0.197022
