RESULTADOS EXPERIMENTALES - SUDOKU
Fecha: 2025-11-05 17:17:53

RECOCIDO SIMULADO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Tiempo(s),Seed
1,53.00,118000,1000,17.62,288859844
2,2.00,68204,578,9.77,1668628114
3,5.00,61478,521,8.81,1569659738
4,55.00,118000,1000,16.85,2443670894
5,54.00,118000,1000,16.74,2794904244
6,2.00,70682,599,10.01,1033603511
7,50.00,118000,1000,16.76,137239899
8,4.00,110448,936,15.63,56920395
9,6.00,55106,467,7.86,1007091273
10,4.00,54752,464,9.53,1660780016

BÚSQUEDA LOCAL ITERADA - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Iteraciones,Seed
1,16.00,73632,1001,
2,8.00,64732,1001,
3,14.00,71515,1001,
4,11.00,71093,1001,
5,11.00,68344,1001,
6,10.00,67830,1001,
7,14.00,71564,1001,
8,14.00,71601,1001,
9,13.00,72483,1001,
10,7.00,67701,1001,

ALGORITMO MEMÉTICO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Seed
1,12.00,168756,100,
2,15.00,152677,100,
3,12.00,151852,100,
4,10.00,154019,100,
5,13.00,158903,100,
6,10.00,155423,100,
7,8.00,144993,100,
8,11.00,136706,100,
9,11.00,145056,100,
10,12.00,147010,100,

RESUMEN COMPARATIVO
Algoritmo,Mejor,Peor,Promedio,Mediana,Desv.Est.,Óptimas
Recocido Simulado,2.00,55.00,23.50,5.50,24.14,0
ILS,7.00,16.00,11.80,12.00,2.75,0
Memético,8.00,15.00,11.40,11.50,1.80,0
