RESULTADOS EXPERIMENTALES - SUDOKU
Fecha: 2025-11-05 17:31:45

RECOCIDO SIMULADO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Tiempo(s),Seed
1,7.00,32118,303,6.43,1666026644
2,4.00,31694,299,4.55,3510934161
3,6.00,33602,317,5.95,2318524132
4,3.00,34238,323,5.56,3314829111
5,2.00,28620,270,4.08,1975581569
6,6.00,28090,265,5.79,3753677090
7,4.00,34450,325,4.93,738894155
8,2.00,33920,320,6.66,1058021613
9,2.00,34450,325,4.95,3351630002
10,2.00,34874,329,6.04,1483164569

BÚSQUEDA LOCAL ITERADA - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Iteraciones,Seed
1,8.00,63738,1001,
2,4.00,68318,1001,
3,6.00,72755,1001,
4,10.00,70155,1001,
5,14.00,72226,1001,
6,10.00,70385,1001,
7,16.00,69565,1001,
8,10.00,68252,1001,
9,6.00,65052,1001,
10,9.00,67560,1001,

ALGORITMO MEMÉTICO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Seed
1,14.00,131183,100,
2,10.00,144650,100,
3,10.00,141731,100,
4,8.00,139439,100,
5,12.00,142190,100,
6,12.00,135867,100,
7,12.00,134684,100,
8,6.00,144308,100,
9,10.00,132569,100,
10,10.00,152043,100,

RESUMEN COMPARATIVO
Algoritmo,Mejor,Peor,Promedio,Mediana,Desv.Est.,Óptimas
Recocido Simulado,2.00,7.00,3.80,3.50,1.83,0
ILS,4.00,16.00,9.30,9.50,3.47,0
Memético,6.00,14.00,10.40,10.00,2.15,0
