RESULTADOS EXPERIMENTALES - SUDOKU
Fecha: 2025-11-05 17:38:08

RECOCIDO SIMULADO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Tiempo(s),Seed
1,6.00,36994,349,7.12,2512500137
2,7.00,30316,286,4.35,3425823365
3,6.00,30740,290,4.41,2618462668
4,4.00,33602,317,4.87,1748909169
5,5.00,32118,303,4.63,3805373729
6,6.00,32542,307,4.68,2596512791
7,8.00,32330,305,4.70,3548653749
8,4.00,34980,330,5.02,1008827834
9,9.00,29892,282,4.32,940109649
10,6.00,24910,235,3.56,1215052001

BÚSQUEDA LOCAL ITERADA - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Iteraciones,Seed
1,12.00,67489,1001,
2,8.00,64213,1001,
3,9.00,68870,1001,
4,12.00,68070,1001,
5,10.00,67008,1001,
6,10.00,67524,1001,
7,19.00,71279,1001,
8,15.00,68150,1001,
9,11.00,69292,1001,
10,15.00,72043,1001,

ALGORITMO MEMÉTICO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Seed
1,8.00,141204,100,
2,11.00,139291,100,
3,10.00,141271,100,
4,13.00,145393,100,
5,16.00,146976,100,
6,12.00,141938,100,
7,10.00,128926,100,
8,9.00,141458,100,
9,12.00,149477,100,
10,11.00,142567,100,

RESUMEN COMPARATIVO
Algoritmo,Mejor,Peor,Promedio,Mediana,Desv.Est.,Óptimas
Recocido Simulado,4.00,9.00,6.10,6.00,1.51,0
ILS,8.00,19.00,12.10,11.50,3.18,0
Memético,8.00,16.00,11.20,11.00,2.14,0
