RESULTADOS EXPERIMENTALES - SUDOKU
Fecha: 2025-11-05 17:45:27

RECOCIDO SIMULADO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Tiempo(s),Seed
1,2.00,42224,364,6.06,3253843180
2,56.00,116000,1000,16.72,1633791406
3,6.00,50228,433,7.24,2135249616
4,5.00,53360,460,7.78,1494085219
5,57.00,116000,1000,17.47,2688718868
6,5.00,57536,496,9.18,1793245238
7,56.00,116000,1000,16.67,4236381260
8,3.00,71572,617,10.34,3012967706
9,4.00,55680,480,7.98,2245725895
10,2.00,69252,597,9.82,4065282601

BÚSQUEDA LOCAL ITERADA - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Iteraciones,Seed
1,6.00,66009,1001,
2,15.00,76001,1001,
3,6.00,67839,1001,
4,14.00,69450,1001,
5,11.00,70447,1001,
6,13.00,66792,1001,
7,10.00,67582,1001,
8,10.00,67927,1001,
9,13.00,66297,1001,
10,14.00,68232,1001,

ALGORITMO MEMÉTICO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Seed
1,14.00,143903,100,
2,15.00,150234,100,
3,9.00,149831,100,
4,13.00,141352,100,
5,13.00,136588,100,
6,13.00,137008,100,
7,9.00,147600,100,
8,15.00,134334,100,
9,8.00,140529,100,
10,11.00,148582,100,

RESUMEN COMPARATIVO
Algoritmo,Mejor,Peor,Promedio,Mediana,Desv.Est.,Óptimas
Recocido Simulado,2.00,57.00,19.60,5.00,24.08,0
ILS,6.00,15.00,11.20,12.00,3.06,0
Memético,8.00,15.00,12.00,13.00,2.45,0
