funcion,variante,F,CR,repeticion,mejor_fitness
sphere,DE/rand/1,0.9,0.5,1,3.9478167340997143e-103
sphere,DE/rand/1,0.9,0.5,2,5.41400534520241e-103
sphere,DE/rand/1,0.9,0.5,3,1.3357548324224244e-102
sphere,DE/rand/1,0.9,0.5,4,2.7323337721451255e-103
sphere,DE/rand/1,0.9,0.5,5,1.122601992962169e-101
sphere,DE/rand/1,0.9,0.5,6,3.877330320591287e-102
sphere,DE/rand/1,0.9,0.5,7,1.8173977749146534e-103
sphere,DE/rand/1,0.9,0.5,8,2.3068710004773553e-103
sphere,DE/rand/1,0.9,0.5,9,1.9331419720805085e-102
sphere,DE/rand/1,0.9,0.5,10,2.1983125017018946e-102
sphere,DE/rand/1,0.8,0.7,1,1.0429973462443782e-104
sphere,DE/rand/1,0.8,0.7,2,1.7052835087321257e-104
sphere,DE/rand/1,0.8,0.7,3,1.9655385509797488e-103
sphere,DE/rand/1,0.8,0.7,4,2.228506136173721e-104
sphere,DE/rand/1,0.8,0.7,5,4.0599688727980406e-105
sphere,DE/rand/1,0.8,0.7,6,1.782426548431211e-105
sphere,DE/rand/1,0.8,0.7,7,1.0736959061988757e-104
sphere,DE/rand/1,0.8,0.7,8,2.059009517706035e-104
sphere,DE/rand/1,0.8,0.7,9,9.524619418655335e-106
sphere,DE/rand/1,0.8,0.7,10,1.2319954079959271e-104
sphere,DE/rand/1,0.75,0.6,1,6.287113179773508e-138
sphere,DE/rand/1,0.75,0.6,2,2.539563842176028e-139
sphere,DE/rand/1,0.75,0.6,3,4.159174025457724e-139
sphere,DE/rand/1,0.75,0.6,4,3.3502815868383083e-140
sphere,DE/rand/1,0.75,0.6,5,1.8588748202957108e-138
sphere,DE/rand/1,0.75,0.6,6,4.828249200983348e-138
sphere,DE/rand/1,0.75,0.6,7,6.780844533709273e-140
sphere,DE/rand/1,0.75,0.6,8,2.0398426133567536e-138
sphere,DE/rand/1,0.75,0.6,9,1.860185722499601e-137
sphere,DE/rand/1,0.75,0.6,10,2.9173760320656794e-139
sphere,DE/rand/2,0.9,0.5,1,1.3724403455514118e-39
sphere,DE/rand/2,0.9,0.5,2,5.074522865713154e-41
sphere,DE/rand/2,0.9,0.5,3,1.3369250617720637e-40
sphere,DE/rand/2,0.9,0.5,4,4.958221967098177e-40
sphere,DE/rand/2,0.9,0.5,5,2.3748469400080796e-40
sphere,DE/rand/2,0.9,0.5,6,9.170535115561959e-41
sphere,DE/rand/2,0.9,0.5,7,3.0052883514560294e-41
sphere,DE/rand/2,0.9,0.5,8,5.136445115789041e-41
sphere,DE/rand/2,0.9,0.5,9,6.635706326390626e-41
sphere,DE/rand/2,0.9,0.5,10,3.0001736798584644e-41
sphere,DE/rand/2,0.8,0.7,1,2.231065644434936e-33
sphere,DE/rand/2,0.8,0.7,2,3.306059327056303e-34
sphere,DE/rand/2,0.8,0.7,3,3.0320693880127903e-34
sphere,DE/rand/2,0.8,0.7,4,1.0933259408084958e-33
sphere,DE/rand/2,0.8,0.7,5,1.2434294342352846e-33
sphere,DE/rand/2,0.8,0.7,6,1.1244025328601942e-33
sphere,DE/rand/2,0.8,0.7,7,6.4766465515129645e-34
sphere,DE/rand/2,0.8,0.7,8,4.767287941055406e-34
sphere,DE/rand/2,0.8,0.7,9,1.9038333136386057e-34
sphere,DE/rand/2,0.8,0.7,10,1.755222973283057e-33
sphere,DE/rand/2,0.75,0.6,1,3.2529475006808288e-55
sphere,DE/rand/2,0.75,0.6,2,5.400824406667113e-55
sphere,DE/rand/2,0.75,0.6,3,2.00742150796954e-55
sphere,DE/rand/2,0.75,0.6,4,1.1174262061461976e-55
sphere,DE/rand/2,0.75,0.6,5,5.9665582138187704e-55
sphere,DE/rand/2,0.75,0.6,6,3.670925778696482e-55
sphere,DE/rand/2,0.75,0.6,7,4.491898730717799e-55
sphere,DE/rand/2,0.75,0.6,8,8.518009428893856e-55
sphere,DE/rand/2,0.75,0.6,9,2.3802296213803612e-55
sphere,DE/rand/2,0.75,0.6,10,5.971604801674254e-56
sphere,DE/best/1,0.9,0.5,1,1.3626497072071549e-188
sphere,DE/best/1,0.9,0.5,2,3.5913685984650667e-188
sphere,DE/best/1,0.9,0.5,3,1.1714021461504553e-187
sphere,DE/best/1,0.9,0.5,4,1.625428807891828e-190
sphere,DE/best/1,0.9,0.5,5,2.1799473706532915e-188
sphere,DE/best/1,0.9,0.5,6,2.857745725594088e-190
sphere,DE/best/1,0.9,0.5,7,8.536237735822438e-189
sphere,DE/best/1,0.9,0.5,8,1.270938835479175e-189
sphere,DE/best/1,0.9,0.5,9,2.4123880649981808e-186
sphere,DE/best/1,0.9,0.5,10,9.288332837510533e-189
sphere,DE/best/1,0.8,0.7,1,5.908899509159635e-270
sphere,DE/best/1,0.8,0.7,2,8.383221741705459e-268
sphere,DE/best/1,0.8,0.7,3,7.591845161501654e-268
sphere,DE/best/1,0.8,0.7,4,6.672225232528154e-267
sphere,DE/best/1,0.8,0.7,5,2.295621938854647e-266
sphere,DE/best/1,0.8,0.7,6,3.509667158635463e-268
sphere,DE/best/1,0.8,0.7,7,3.3433971266584973e-265
sphere,DE/best/1,0.8,0.7,8,6.273930622962198e-270
sphere,DE/best/1,0.8,0.7,9,5.517475307347429e-269
sphere,DE/best/1,0.8,0.7,10,1.832368707529964e-267
sphere,DE/best/1,0.75,0.6,1,0.0
sphere,DE/best/1,0.75,0.6,2,0.0
sphere,DE/best/1,0.75,0.6,3,0.0
sphere,DE/best/1,0.75,0.6,4,0.0
sphere,DE/best/1,0.75,0.6,5,0.0
sphere,DE/best/1,0.75,0.6,6,0.0
sphere,DE/best/1,0.75,0.6,7,0.0
sphere,DE/best/1,0.75,0.6,8,0.0
sphere,DE/best/1,0.75,0.6,9,0.0
sphere,DE/best/1,0.75,0.6,10,0.0
sphere,DE/current-to-best/1,0.9,0.5,1,3.1196772332541808e-183
sphere,DE/current-to-best/1,0.9,0.5,2,3.984693717725111e-182
sphere,DE/current-to-best/1,0.9,0.5,3,6.004715277851593e-184
sphere,DE/current-to-best/1,0.9,0.5,4,2.555966198554628e-187
sphere,DE/current-to-best/1,0.9,0.5,5,5.77395767967712e-181
sphere,DE/current-to-best/1,0.9,0.5,6,2.974007019925944e-185
sphere,DE/current-to-best/1,0.9,0.5,7,4.409981890018407e-183
sphere,DE/current-to-best/1,0.9,0.5,8,1.2919004184394993e-182
sphere,DE/current-to-best/1,0.9,0.5,9,2.3450683938088043e-182
sphere,DE/current-to-best/1,0.9,0.5,10,7.91787117472663e-186
sphere,DE/current-to-best/1,0.8,0.7,1,1.8617011826889537e-258
sphere,DE/current-to-best/1,0.8,0.7,2,2.552863292651526e-261
sphere,DE/current-to-best/1,0.8,0.7,3,1.473847980494461e-264
sphere,DE/current-to-best/1,0.8,0.7,4,7.966972349795683e-260
