RESULTADOS EXPERIMENTALES - SUDOKU
Fecha: 2025-11-05 17:24:08

RECOCIDO SIMULADO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Tiempo(s),Seed
1,2.00,24300,270,5.31,925142945
2,0.00,21960,244,3.24,1953845496
3,2.00,24300,270,5.31,4145398352
4,2.00,22950,255,3.42,1316432535
5,0.00,19530,217,4.57,2895774166
6,0.00,14220,158,2.09,87154950
7,8.00,24030,267,4.75,4119179137
8,3.00,19080,212,3.30,1747142284
9,2.00,22950,255,4.19,672984159
10,2.00,19980,222,3.92,1235707037

BÚSQUEDA LOCAL ITERADA - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Iteraciones,Seed
1,6.00,62075,1001,
2,11.00,63611,1001,
3,6.00,64054,1001,
4,16.00,63404,1001,
5,12.00,62932,1001,
6,11.00,62707,1001,
7,6.00,60532,1001,
8,7.00,63019,1001,
9,7.00,60629,1001,
10,5.00,60839,1001,

ALGORITMO MEMÉTICO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Seed
1,7.00,121849,100,
2,8.00,118496,100,
3,2.00,121611,100,
4,10.00,121749,100,
5,2.00,127159,100,
6,6.00,122975,100,
7,6.00,122344,100,
8,15.00,117920,100,
9,2.00,119118,100,
10,10.00,118033,100,

RESUMEN COMPARATIVO
Algoritmo,Mejor,Peor,Promedio,Mediana,Desv.Est.,Óptimas
Recocido Simulado,0.00,8.00,2.10,2.00,2.21,3
ILS,5.00,16.00,8.70,7.00,3.41,0
Memético,2.00,15.00,6.80,6.50,3.99,0
